Universidad;Nombre;Autores;Autor ID;Author(s) ID;Publicación;Año;Fuente;Citado por;Filiación;Abstract;Index keywords;Idioma de Publicación;Tipo de documento
UdeC;Aqueveque Navarro Pablo Esteban;Aqueveque P., Gómez B., Williams P.A.H., Li Z.;14036817700;14036817700-57208341365-7404954997-56967916100-;A Novel Privacy Preservation and Quantification Methodology for Implementing Home-Care-Oriented Movement Analysis Systems;2022;Sensors;0;Electrical Engineering Department, Universidad de Concepción, Concepción, 4070409, Chile- College of Science and Engineering, Flinders University, Adelaide, SA 5042, Australia- Department of Computer Science, Universidad de Concepción, Concepción, 4070409, Chile;Human movement is generally evaluated through both observations and clinical assessment scales to identify the state and deterioration of a patient’s motor control. Lately, technological systems for human motion analysis have been used in clinics to identify abnormal movement states, while they generally suffer from privacy challenges and concerns especially at home or in remote places. This paper presents a novel privacy preservation and quantification methodology that imitates the forgetting process of human memory to protect privacy in patient-centric healthcare. The privacy preservation principle of this methodology is to change the traditional data analytic routines into a distributed and disposable form (i.e., DnD) so as to naturally minimise the disclosure of patients’ health data. To help judge the efficacy of DnD-based privacy preservation, the researchers further developed a risk-driven privacy quantification framework to supplement the existing privacy quantification techniques. To facilitate validating the methodology, this research also involves a home-care-oriented movement analysis system that comprises a single inertial measurement sensor and a mobile application. The system can acquire personal information, raw data of movements and indexes to evaluate the risk of falls and gait at homes. Moreover, the researchers conducted a technological appreciation survey of 16 health professionals to help understand the perception of this research. The survey obtains positive feedback regarding the movement analysis system and the proposed methodology as suitable for home-care scenarios. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.;-;English;Article
UdeC;Aqueveque Navarro Pablo Esteban;Aqueveque P., Germany E., Pastene F., Osorio R.;14036817700;14036817700-57192919943-57204675990-57204675735-;Exploring Silicone Rubber Skin with Embedded Customizable Shape Capacitive Sensors to Enable Haptic Capabilities on Upper Limb Prosthetics;2022;Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS;0;Universidad de Concepción, The Department of Electrical Engineering, Chile;Commercially available electromechanical prosthetic devices still lack touch-sensing capabilities, and there is a huge gap between research devices and commercially available ones. There is a need for small flexible touch sensors with high accuracy and sensitivity for this type of device. Touch sensors in prosthetic devices are needed for feedback mechanisms to the user and to achieve high dexterity in control schemes for fragile objects. A brief review of prosthetic touch sensors is presented, addressing desirable characteristics for touch sensing. In this paper, a custom shape flexible capacitive touch sensor is designed and characterized, meeting prosthetic sensors needs, such as thickness, power consumption, accuracy, repeatability, and stability. The designed sensor presented the capability to distinguish up to 0.5N steps with good stability. The sensor accomplished a full sensing range between 5N and 100N with reasonable accuracy, and hysteresis analysis achieved an average of 8.8 %. Clinical Relevance- The custom shape capacitive sensors proposed in this paper contribute to the development of tactile sensors for prosthetic devices as more accurate and sensitive sensor interfaces are required to detect and improve manipulating capabilities. © 2022 IEEE.;-;English;Conference Paper
UdeC;Aqueveque Navarro Pablo Esteban;Aqueveque P., Radrigan L., Morales A.S., Willenbrinck E.;14036817700;14036817700-57221661742-22234925500-57329557100-;Development of a Cyber-Physical System to Monitor Early Failures Detection in Vibrating Screens;2022;IEEE Access;2;Department of Electrical Engineering, Universidad de Concepción, Concepción, 4070386, Chile- Department of Electrical Engineering, Universidad Católica de la Santísima Concepción, Concepción, 4090541, Chile- Willenbrinck y Cia. Ltda, Santiago, 7980265, Chile;Vibratory screens are used in mining to classify mineral and send it to different pathways, normally using conveyor belts. Vibration analysis techniques are commonly used for condition monitoring and early detection of unforeseen failures to generate predictive maintenance. This paper proposes a novel solution to implement wireless sensors forming an instrumentation dedicated network combined with data-driven machine learning for monitoring vibrating screens. The system is optimized explicitly for vibratory equipment, which sets it apart from general-purpose condition monitoring systems. Embedded sensors are battery-powered and robust to withstand constant vibratory movement. The data used for training the machine learning models are gathered from a lab setup and discrete element simulations. The test bench consisted of a lab-scale vibratory screener, in which 3-axis accelerations, cumulative damage and wear are measured using sensors embedded in the rubber screens. Proposed data-driven machine learning models classify each screen condition in states according to the ISO 2372 standards for vibration severity. The system can identify random failures (based on test bench measured data) as progressive degradation failures over time (based on discrete element methods simulation results). The accuracy of the classification algorithms consistently ranges from 95% to 98%. Moreover, the system allows the early detection of unacceptable states up to 168 hours before the screen's end-of-life predation by an expert. The system is characterized for (i) avoiding unplanned downtime and consequently (ii) increase operational availability. The system is intended to notify users when an abnormal operation is detected and impending failure events in the early stage. © 2013 IEEE.;-;English;Article
UdeC;Aqueveque Navarro Pablo Esteban;Saavedra F., Osorio R., Aqueveque P., Andrews B.;14036817700;57192256163-57204675735-14036817700-57542805400-;Effect of the Current Intensity and Inter-Electrode Distance in Surface Electrical Stimulation: A FEM Simulation Study;2022;Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS;0;University of Concepcion, Electrical Engineering Department, Chile- University of Oxford, Nuffield Department of Surgical Science, United Kingdom;In functional electric stimulation, variables such as electrode size, shape, and inter-electrodes distance can produce different neural and functional responses. In this work, a computational model combining FEM and MRG axon models is implemented to replicate two experimental studies that compare the effect of changing inter-electrode distance when applying FES to induce knee flexion. One work affirms that the stronger torque happens for greater distances, while the other obtain its maximum at lower distances. Using a simplified computational model gave another study perspective to understand why these two stimulation methodologies obtain different results. According to our results, an anodic stimulation occurs with greater current intensities and inter-electrode distances. This anodic effect can activate other nerve or motor points in the vicinity of the anode, explaining that more muscle fibers are recruited and generate an increased torque. Clinical Relevance - This work gives another view to understanding how the distance between electrodes affects neural activation, which has implications for optimizing clinical and exercise protocols using electrical stimulation techniques. © 2022 IEEE.;-;English;Conference Paper
UdeC;Aqueveque Navarro Pablo Esteban;Aqueveque P., Díaz M., Gomez B., Osorio R., Pastene F., Radrigan L., Morales A.;14036817700;14036817700-57965402900-57208341365-57204675735-57204675990-57221661742-22234925500-;Embedded Electronic Sensor for Monitoring of Breathing Activity, Fitting and Filter Clogging in Reusable Industrial Respirators;2022;Biosensors;0;Department of Electrical Engineering, Faculty of Engineering, Universidad de Concepción, 219 Edmundo Larenas St.Concepción 4030000, Chile- Department of Multidisciplinary Engineering, Faculty of Engineering, Universidad de Santiago de Chile, Libertador Bernardo O'Higgins Av.Santiago 9170022, Chile- Department of Electrical Engineering, Universidad Católica de la Santísima ConcepciónConcepción 4090541, Chile;Millions of workers are required to wear reusable respirators in several industries worldwide. Reusable respirators include filters that protect workers against harmful dust, smoke, gases, and vapors. These hazards may cause cancer, lung impairment, and diseases. Respiratory protection is prone to failure or misuse, such as wearing respirators with filters out of service life and employees wearing respirators loosely. Currently, there are no commercial systems capable of reliably alerting of misuse of respiratory protective equipment during the workday shifts or provide early information about dangerous clogging levels of filters. This paper proposes a low energy and non-obtrusive functional building block with embedded electronics that enable breathing monitoring inside an industrial reusable respirator. The embedded electronic device collects multidimensional data from an integrated pressure, temperature, and relative humidity sensor inside a reusable industrial respirator in real time and sends it wirelessly to an external platform for further processing. Here, the calculation of instantaneous breathing rate and estimation of the filter's respirator fitting and clogging level is performed. The device was tested with ten healthy subjects in laboratory trials. The subjects were asked to wear industrial reusable respirator with the embedded electronic device attached inside. The signals measured with the system were compared with airflow signals measured with calibrated transducers for validation purposes. The correlation between the estimated breathing rates using pressure, temperature, and relative humidity with the reference signal (airflow) is 0.987, 0.988 and 0.989 respectively, showing that instantaneous breathing rate can be calculated accurately using the information from the embedded device. Moreover, respirator fitting (well-fitted or loose condition) and filter's clogging levels (≤60%, 80% and 100% clogging) also can be estimated using features extracted from absolute pressure measurements combined to statistical analysis ANOVA models. These experimental outputs represent promising results for further development of data-driven prediction models using machine learning techniques to determine filters end-of-service life. Furthermore, the proposed system would collect relevant data for real-time monitoring of workers' breathing conditions and respirator usage, helping to improve occupational safety and health in the workplace.;-;English;Article
UdeC;Aqueveque Navarro Pablo Esteban;Osorio R., Pastene F., Ortega P., Aqueveque P.;14036817700;57204675735-57204675990-57606941500-14036817700-;Gait Subphases Classification Based on Hidden Markov Models using in-shoes Capacitive Pressure Sensors: Preliminary Results;2022;Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS;0;Universidad de Concepción, Faculty of Engineering, Department of Electrical Engineering, Concepción, 4030000, Chile- Universidad de Concepción, Faculty of Medicine, Kinesiology Department, Concepcion, 4030000, Chile- International Doctoral School, Universidad Rey Juan Carlos, Health Sciences PhD Programme, Madrid, 28922, Spain;Gait cycle analysis is widely practiced to determine alterations of normal walking. The challenge is to choose the ideal systems that suit the studies. One possibility is to measure the interaction of the sole and the support surface and detect gait events related to the positioning of the foot. This work proposes a gait subphase classification based on Hidden Markov Model that identifies gait stance subphases from a foot pressure measurement. A sensorized insole was used to record the pressure under the foot with eight custom-made capacitive sensors. Tests were performed on six volunteers with a 10-meter trial test. Mean cadence and stance/swing ratio were calculated. These parameters match the normal range for the age of the volunteers found in the literature. The results show that the proposed model can classify the gait in 5 subphases using the Center of Pressure (CoP) anteroposterior position and velocity as input. Changes in the slope of the CoP marks the step between subphases. Clinical Relevance - Most gait studies are performed in highly equipped gait laboratories. Due to technical requirements and the high cost of implementing a gait laboratory, access to these services is difficult for a large population. For this reason, it is necessary to develop equipment, devices, and algorithm to further study pathological and healthy gait. © 2022 IEEE.;-;English;Conference Paper
UdeC;Aqueveque Navarro Pablo Esteban;Keogh C., Saavedra F., Dubo S., Aqueveque P., Ortega P., Gomez B., Germany E., Pinto D., Osorio R., Pastene F., Poulton A., Jarvis J., Andrews B., FitzGerald J.J.;14036817700;57204268643-57192256163-57189003761-14036817700-57606941500-57208341365-57192919943-57204677895-57204675735-57204675990-57609074800-16151212100-57542805400-24466527100-;Non-invasive phrenic nerve stimulation to avoid ventilator-induced diaphragm dysfunction in critical care;2022;Artificial Organs;2;Nuffield Department of Surgical Sciences, University of Oxford, Oxford, United Kingdom- Electrical Engineering Department, Universidad de Concepcion, Concepción, Chile- Kinesiology Department, Universidad de Concepcion, Concepción, Chile- School of Sport and Exercise Science, Liverpool John Moores University, Liverpool, United Kingdom;Background: Diaphragm muscle atrophy during mechanical ventilation begins within 24 h and progresses rapidly with significant clinical consequences. Electrical stimulation of the phrenic nerves using invasive electrodes has shown promise in maintaining diaphragm condition by inducing intermittent diaphragm muscle contraction. However, the widespread application of these methods may be limited by their risks as well as the technical and environmental requirements of placement and care. Non-invasive stimulation would offer a valuable alternative method to maintain diaphragm health while overcoming these limitations. Methods: We applied non-invasive electrical stimulation to the phrenic nerve in the neck in healthy volunteers. Respiratory pressure and flow, diaphragm electromyography and mechanomyography, and ultrasound visualization were used to assess the diaphragmatic response to stimulation. The electrode positions and stimulation parameters were systematically varied in order to investigate the influence of these parameters on the ability to induce diaphragm contraction with non-invasive stimulation. Results: We demonstrate that non-invasive capture of the phrenic nerve is feasible using surface electrodes without the application of pressure, and characterize the stimulation parameters required to achieve therapeutic diaphragm contractions in healthy volunteers. We show that an optimal electrode position for phrenic nerve capture can be identified and that this position does not vary as head orientation is changed. The stimulation parameters required to produce a diaphragm response at this site are characterized and we show that burst stimulation above the activation threshold reliably produces diaphragm contractions sufficient to drive an inspired volume of over 600 ml, indicating the ability to produce significant diaphragmatic work using non-invasive stimulation. Conclusion: This opens the possibility of non-invasive systems, requiring minimal specialist skills to set up, for maintaining diaphragm function in the intensive care setting. © 2022 The Authors. Artificial Organs published by International Center for Artificial Organ and Transplantation (ICAOT) and Wiley Periodicals LLC.;-;English;Article
UdeC;Aqueveque Navarro Pablo Esteban;Aqueveque P., Gomez B., Ortega-Bastidas P., Pena G., Retamal G., Cano-De-La-Cuerda R.;14036817700;14036817700-57208341365-57208343194-57892225800-57892181500-18633636500-;Predicting risk of falls in elderly using a single Inertial Measurement Unit on the lower-back by estimating spatio-temporal gait parameters;2022;Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS;0;Universidad de Concepción, Faculty of Engineering, Electrical Engineering Department, 219 Edmundo Larenas St., Concepción, 4030000, Chile- Universidad de Con-cepcion, Faculty of Medicine, Kinesiology Department, 151 Janequeo St., Concepcion, 4030000, Chile- International Doctoral School, Universi-dad Rey Juan, Health Sciences PhD Programme, Carlos, Madrid, 28922, Spain- Universidad Rey Juan Carlos, Physiotherapy, Occupational Therapy, Rehabilitation and Physical Medicine Department, Madrid28922, Spain;One of the consequences of aging is the increased risk of falls, especially when someone walks in unknown or uncontrolled environments. Usually, gait is evaluated through observation and clinical assessment scales to identify the state and deterioration of the patient's postural control. Lately, technological systems for bio-mechanical analysis have been used to determine abnormal gait states being expensive, difficult to use, and impossible to apply in real conditions. In this article, we explore the ability of a system based on a single inertial measurement unit located in the lower back to estimate spatio-temporal gait parameters by analyzing the signals available in the Physionet repository 'Long Term Movement Monitoring Database' which, together with automatic classification algorithms, allow predicting the risk of falls in the elderly population. Different classification algorithms were trained and evaluated, being the Support Vector Machine classifier with a third-degree polynomial kernel, cost function C = 2 with the best performance, with an Accuracy = 59%, Recall = 91%, and F1- score = 71%, providing promising results regarding a proposal for the quantitative, online and realistic evaluation of gait during activities of daily living, which is where falls actually occur in the target population. Clinical Relevance - This work proposes an early risk of falls detection tool, essential to start preventive treatment strategies to maintain the independence of the elderly through a non-invasive, simple, and low-cost alternative. © 2022 IEEE.;-;English;Conference Paper
UdeC;Aqueveque Navarro Pablo Esteban;Pinto D., Pastene F., Godoy J., Gomez B., Ortega-Bastidas P., Aqueveque P.;14036817700;57204677895-57204675990-57892287100-57208341365-57208343194-14036817700-;Static Balance Characterization using a single IMU Located in the Lower Back: Preliminary Results;2022;Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS;0;Universidad de Concepcion, Faculty of Engineering, Department of Electrical Engineering, Concepción, Chile- Universidad de Concepción, Faculty of Engineering, Department of Informatic Engineer and Computer Science, Chile- Universidad de Concepción, Faculty of Medicine, Kinesiology Department, Concepcion, Chile- Health Sciences PhD Programme, International Doctoral School, Universidad Rey Juan Carlos, Madrid, 28922, Spain;Balance refers to the dynamics of body posture to prevent falls. For years, researchers have tried to find out which tasks and measures provide optimal detection of balance disorders, so that they can be quantified. This paper proposes the use of an accelerometer sensor located in the lower back to measure the center of mass accelerations and to characterize the subject's static balance. For characterizing the static balance objectively, we propose using normality circles, a centroid, and a dispersion circle during the modified Clinical Test of Sensory Interaction in Balance (mCTSIB) test. The proposed methodology was tested using two groups of subjects (10 healthy and 3 unhealthy). Our methodology for the static balance was compared to the Berg Balance Scale score. The results shown that a subject with lower BBS score obtain lower dispersion circle and is outside the normality circle. Also, our method outperforms a new option since it characterizes the static balance in an objective, portable, simple, and low-cost way. Clinical Relevance - Our proposed methodology to characterize the static balance can help to simplify objectify and reduce the cost of the clinical practice for balance evaluation. © 2022 IEEE.;-;English;Conference Paper
UdeC;Aqueveque Navarro Pablo Esteban;Aqueveque P., Radrigan L., Morales A.S., Willenbrinck E.;14036817700;14036817700-57221661742-22234925500-57329557100-;Development of a Cyber-Physical System to Monitor Early Failures Detection in Vibrating Screens;2021;IEEE Access;1;Department of Electrical Engineering, Universidad de Concepción, Concepción, 4070386, Chile- Department of Electrical Engineering, Universidad Católica de la Santísima Concepción, Concepción, 4090541, Chile- Willenbrinck y Cia. Ltda, Santiago, 7980265, Chile;Vibratory screens are used in mining to classify mineral and send it to different pathways, normally using conveyor belts. Vibration analysis techniques are commonly used for condition monitoring and early detection of unforeseen failures to generate predictive maintenance. This paper proposes a novel solution to implement wireless sensors forming an instrumentation dedicated network combined with data-driven machine learning for monitoring vibrating screens. The system is optimized explicitly for vibratory equipment, which sets it apart from general-purpose condition monitoring systems. Embedded sensors are battery-powered and robust to withstand constant vibratory movement. The data used for training the machine learning models are gathered from a lab setup and discrete element simulations. The test bench consisted of a lab-scale vibratory screener, in which 3-axis accelerations, cumulative damage and wear are measured using sensors embedded in the rubber screens. Proposed data-driven machine learning models classify each screen condition in states according to the ISO 2372 standards for vibration severity. The system can identify random failures (based on test bench measured data) as progressive degradation failures over time (based on discrete element methods simulation results). The accuracy of the classification algorithms consistently ranges from 95% to 98%. Moreover, the system allows the early detection of unacceptable states up to 168 hours before the screen's end-of-life predation by an expert. The system is characterized for (i) avoiding unplanned downtime and consequently (ii) increase operational availability. The system is intended to notify users when an abnormal operation is detected and impending failure events in the early stage. © 2013 IEEE.;Cyber Physical System- Embedded systems- Internet of things- Vibration analysis- Conveyor belts- Data driven- Early failure detection- Embedded sensors- Machine learning models- Novel solutions- Predictive maintenance- Test-bench- Vibration analysis techniques- Vibratory screens- Condition monitoring;English;Article
