"Area1";"Area2";"Area3";"Area4"
"Aerospace and electronic systems";"Aerospace control";"Air traffic control";"-"
"Aerospace and electronic systems";"Aerospace control";"Attitude control";"-"
"Aerospace and electronic systems";"Aerospace control";"Ground support";"-"
"Aerospace and electronic systems";"Aerospace engineering";"Ground support";"-"
"Aerospace and electronic systems";"Aerospace engineering";"Aerospace biophysics";"-"
"Aerospace and electronic systems";"Aerospace engineering";"Aerospace electronics";"-"
"Aerospace and electronic systems";"Aerospace engineering";"Aerospace safety";"-"
"Aerospace and electronic systems";"Aerospace engineering";"Aerospace safety";"Air safety"
"Aerospace and electronic systems";"Aerospace engineering";"Aerospace simulation";"Air safety"
"Aerospace and electronic systems";"Aerospace engineering";"Aerospace testing";"Air safety"
"Aerospace and electronic systems";"Aerospace engineering";"Aerospace testing";"Wind tunnels"
"Aerospace and electronic systems";"Aerospace engineering";"Artificial satellites";"Wind tunnels"
"Aerospace and electronic systems";"Aerospace engineering";"Artificial satellites";"Earth Observing System"
"Aerospace and electronic systems";"Aerospace engineering";"Artificial satellites";"Low earth orbit satellites"
"Aerospace and electronic systems";"Aerospace engineering";"Artificial satellites";"Military satellites"
"Aerospace and electronic systems";"Aerospace engineering";"Artificial satellites";"Space stations"
"Aerospace and electronic systems";"Aerospace engineering";"Space technology";"Space stations"
"Aerospace and electronic systems";"Aerospace engineering";"Space technology";"Payloads"
"Aerospace and electronic systems";"Aerospace engineering";"Space technology";"Space debris"
"Aerospace and electronic systems";"Aerospace engineering";"Space technology";"Space exploration"
"Aerospace and electronic systems";"Aerospace materials";"Space technology";"Space exploration"
"Aerospace and electronic systems";"Aerospace materials";"Aerospace components";"Space exploration"
"Aerospace and electronic systems";"Aircraft manufacture";"Aerospace components";"Space exploration"
"Aerospace and electronic systems";"Aircraft navigation";"Aerospace components";"Space exploration"
"Aerospace and electronic systems";"Aircraft propulsion";"Aerospace components";"Space exploration"
"Aerospace and electronic systems";"Aircraft propulsion";"Propellers";"Space exploration"
"Aerospace and electronic systems";"Command and control systems";"Propellers";"Space exploration"
"Aerospace and electronic systems";"Electronic warfare";"Propellers";"Space exploration"
"Aerospace and electronic systems";"Electronic warfare";"Electronic countermeasures";"Space exploration"
"Aerospace and electronic systems";"Electronic warfare";"Jamming";"Space exploration"
"Aerospace and electronic systems";"Electronic warfare";"Radar countermeasures";"Space exploration"
"Aerospace and electronic systems";"Military equipment";"Radar countermeasures";"Space exploration"
"Aerospace and electronic systems";"Military equipment";"Military aircraft";"Space exploration"
"Aerospace and electronic systems";"Military equipment";"Military satellites";"Space exploration"
"Aerospace and electronic systems";"Military equipment";"Military vehicles";"Space exploration"
"Aerospace and electronic systems";"Military equipment";"Weapons";"Space exploration"
"Aerospace and electronic systems";"Military equipment";"Weapons";"Guns"
"Aerospace and electronic systems";"Military equipment";"Weapons";"Missiles"
"Aerospace and electronic systems";"Military equipment";"Weapons";"Nuclear weapons"
"Aerospace and electronic systems";"Military equipment";"Weapons";"Projectiles"
"Aerospace and electronic systems";"Radar";"Weapons";"Projectiles"
"Aerospace and electronic systems";"Radar";"Airborne radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Bistatic radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Cognitive radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Doppler radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Ground penetrating radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"High frequency radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Laser radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Meteorological radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Millimeter wave radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Multistatic radar";"Projectiles"
"Aerospace and electronic systems";"Radar";"Multistatic radar";"MIMO radar"
"Aerospace and electronic systems";"Radar";"Passive radar";"MIMO radar"
"Aerospace and electronic systems";"Radar";"Quantum radar";"MIMO radar"
"Aerospace and electronic systems";"Radar";"Radar applications";"MIMO radar"
"Aerospace and electronic systems";"Radar";"Radar applications";"Radar countermeasures"
"Aerospace and electronic systems";"Radar";"Radar applications";"Radar detection"
"Aerospace and electronic systems";"Radar";"Radar applications";"Radar imaging"
"Aerospace and electronic systems";"Radar";"Radar applications";"Radar measurements"
"Aerospace and electronic systems";"Radar";"Radar applications";"Radar polarimetry"
"Aerospace and electronic systems";"Radar";"Radar applications";"Radar remote sensing"
"Aerospace and electronic systems";"Radar";"Radar applications";"Radar tracking"
"Aerospace and electronic systems";"Radar";"Radar clutter";"Radar tracking"
"Aerospace and electronic systems";"Radar";"Radar clutter";"Radar crosssections"
"Aerospace and electronic systems";"Radar";"Radar equipment";"Radar crosssections"
"Aerospace and electronic systems";"Radar";"Radar theory";"Radar crosssections"
"Aerospace and electronic systems";"Radar";"Spaceborne radar";"Radar crosssections"
"Aerospace and electronic systems";"Radar";"Spread spectrum radar";"Radar crosssections"
"Aerospace and electronic systems";"Radar";"Synthetic aperture radar";"Radar crosssections"
