"","keyword","Año","Universidad","area","frec_universidad","frec_biomedica"
"1","3d printers",2021,"UV","Biomechanics",2,6
"2","3d printers",2021,"UV","Biomechanics",2,6
"3","3d printers",2019,"UdeC","Biomechanics",1,10
"4","3d printers",2022,"UV","Biomechanics",3,8
"5","3d printing",2022,"UV","Biomechanics",3,8
"6","4d flow",2022,"UV","Medical Imaging",91,106
"7","4d flow",2022,"UV","Medical Imaging",91,106
"8","4d flow magnetic resonance imaging",2022,"UV","Medical Imaging",91,106
"9","accelerometer sensor",2017,"UV","Biomechanics",9,11
"10","accelerometry",2020,"UdeC","Biomechanics",1,3
"11","accelerometry",2019,"UV","Biomechanics",9,10
"12","accelerometry",2019,"UV","Biomechanics",9,10
"13","accelerometry",2019,"UV","Biomechanics",9,10
"14","accelerometry",2019,"UV","Biomechanics",9,10
"15","accelerometry",2019,"UV","Biomechanics",9,10
"16","accelerometry",2019,"UV","Biomechanics",9,10
"17","amino acid receptor blocking agent",2017,"UV","Bioinformatics/Genetic engineering",1,1
"18","angiography",2021,"UV","Medical Imaging",45,62
"19","anthropometry",2010,"UV","Biomechanics",6,6
"20","anthropometry",2010,"UV","Biomechanics",6,6
"21","anthropometry",2020,"USACH","Biomechanics",2,3
"22","anthropometry",2022,"USACH","Biomechanics",5,8
"23","aortic hemodynamics",2022,"UV","Biofluids",36,50
"24","artificial heart",2010,"UV","Bioinstrumentation/Biomedical electronics",5,6
"25","autoregulation",2022,"USACH","Systems Physiology",15,18
"26","autoregulation",2022,"USACH","Systems Physiology",15,18
"27","autoregulation",2022,"USACH","Systems Physiology",15,18
"28","autoregulation",2022,"USACH","Systems Physiology",15,18
"29","autoregulation",2020,"USACH","Systems Physiology",4,27
"30","autoregulation",2022,"USACH","Systems Physiology",15,18
"31","autoregulation",2022,"USACH","Systems Physiology",15,18
"32","axial flux machines",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"33","axial flux machines",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"34","axial flux machines",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"35","axial flux machines",2009,"UdeC","Bioinstrumentation/Biomedical electronics",2,2
"36","axial flux machines",2008,"UdeC","Bioinstrumentation/Biomedical electronics",4,5
"37","axial flux machines",2008,"UdeC","Bioinstrumentation/Biomedical electronics",4,5
"38","axial flux machines",2017,"UdeC","Bioinstrumentation/Biomedical electronics",9,17
"39","axial flux machines",2010,"UdeC","Bioinstrumentation/Biomedical electronics",1,6
"40","axial flux machines",2014,"UdeC","Bioinstrumentation/Biomedical electronics",7,7
"41","axial flux machines",2008,"UdeC","Bioinstrumentation/Biomedical electronics",4,5
"42","ballistocardiography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"43","ballistocardiography",2015,"UdeC","Bioinstrumentation/Biomedical electronics",16,16
"44","ballistocardiography",2015,"UdeC","Bioinstrumentation/Biomedical electronics",16,16
"45","ballistocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"46","ballistocardiography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"47","ballistocardiography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"48","ballistocardiography",2015,"UdeC","Bioinstrumentation/Biomedical electronics",16,16
"49","ballistocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"50","ballistocardiography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"51","ballistocardiography",2015,"UdeC","Bioinstrumentation/Biomedical electronics",16,16
"52","biochemical engineering",2017,"UV","Biomaterials",14,14
"53","biochemistry",2019,"UV","Biomaterials",3,3
"54","biochemistry",2018,"UV","Biomaterials",3,3
